,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ensumbles,lattice_size,memory_length,synergy_rate,python,numpy,numba,vectorized_numpy,vectorized_pytorch,vectorized_pytorch_gpu,cupy,numba_cuda,julia,julia_opt,julia_parallel,julia_cuda
0,0,0,0,0,0,0,0,1.0,32.0,15.0,3.0,3.099500987000283,20.46997119000298,0.4102064079997944,0.2314806590002263,0.2973072569948272,,,,,,,
1,1,1,1,1,1,1,1,2.0,32.0,15.0,3.0,3.0207282209994446,20.15779711199866,0.0928165549994446,0.2302164689972414,0.2927136520011117,,,,,,,
2,2,2,2,2,2,2,2,3.0,32.0,15.0,3.0,3.0740842880004493,20.402553940999496,0.0928380749974167,0.2235919769991596,0.3025061290027224,,,,,,,
3,3,3,3,3,3,3,3,4.0,32.0,15.0,3.0,2.9809764669989818,20.27873660299884,0.0925243750025401,0.2230005130004428,0.2993417449979461,,,,,,,
4,4,4,4,4,4,4,4,5.0,32.0,15.0,3.0,2.9903256809993763,20.19276559300124,0.0925858789996709,0.2243412640018505,0.3049556749974726,,,,,,,
5,5,5,5,5,5,5,5,6.0,32.0,15.0,3.0,3.051304754000739,20.27257257100064,0.0919717939977999,0.2241410839997115,0.2992045319988392,,,,,,,
6,6,6,6,6,6,6,6,7.0,32.0,15.0,3.0,3.047043515000041,20.32095485699756,0.09143395099818,0.2211262929995427,0.2983283130015479,,,,,,,
7,7,7,7,7,7,7,7,8.0,32.0,15.0,3.0,3.039082736000637,20.693481116999465,0.0910954560022219,0.2269891249998181,0.2970427589971223,,,,,,,
8,8,8,8,8,8,8,8,9.0,32.0,15.0,3.0,3.070439303999592,20.15953034300037,0.0915620180021505,0.2252799420020892,0.2954816140045295,,,,,,,
9,9,9,9,9,9,9,9,10.0,32.0,15.0,3.0,3.0178618840000127,19.72701640300147,0.0906049299956066,0.2226367799994477,0.2989800869981991,,,,,,,
10,10,10,10,10,10,10,10,1.0,64.0,15.0,3.0,15.238980435000483,78.494584338001,0.3393796809978084,0.7135698720012442,0.5274301250028657,,,,,,,
11,11,11,11,11,11,11,11,2.0,64.0,15.0,3.0,15.047287474999392,78.62309012399783,0.3449442700002691,0.7137677980026638,0.5306522569953813,,,,,,,
12,12,12,12,12,12,12,12,3.0,64.0,15.0,3.0,15.70269688299959,78.43038366200199,0.3449457919996348,0.7201727040010155,0.5400544040021487,,,,,,,
13,13,13,13,13,13,13,13,4.0,64.0,15.0,3.0,15.642842006000135,79.0072202750016,0.3376725970010739,0.7156769840003108,0.5324341979940073,,,,,,,
14,14,14,14,14,14,14,14,5.0,64.0,15.0,3.0,14.606091607000051,78.29760212700057,0.347289440993336,0.7218020599975716,0.5288381560021662,,,,,,,
15,15,15,15,15,15,15,15,6.0,64.0,15.0,3.0,14.697901784998976,79.19492930499837,0.3461316030006856,0.7196474119991763,0.5288340379993315,,,,,,,
16,16,16,16,16,16,16,16,7.0,64.0,15.0,3.0,15.563480364999124,78.48568231800164,0.3428529869997874,0.7140426080004545,0.5599339840046014,,,,,,,
17,17,17,17,17,17,17,17,8.0,64.0,15.0,3.0,15.051668201998837,78.28101071700075,0.3399945759956608,0.7187463839982229,0.553077579003002,,,,,,,
18,18,18,18,18,18,18,18,9.0,64.0,15.0,3.0,15.622368549000385,75.71414498199738,0.3462829819982289,0.7165926279994892,0.5415028689967585,,,,,,,
19,19,19,19,19,19,19,19,10.0,64.0,15.0,3.0,15.747171531000276,74.9674828640018,0.3445568929964793,0.7100468319986248,0.5271814559964696,,,,,,,
20,20,20,20,20,20,20,20,1.0,128.0,15.0,3.0,72.84864177100098,301.26608503999887,1.3574797209948883,2.6285235899995314,1.2029721930011874,,,,,,,
21,21,21,21,21,21,21,21,2.0,128.0,15.0,3.0,71.75805366599889,303.0650381919986,1.339901141000155,2.618642561999877,1.1945549250012846,,,,,,,
22,22,22,22,22,22,22,22,3.0,128.0,15.0,3.0,71.95596547999958,300.4882957980008,1.3508611059951363,2.6260086780021084,1.2128594660025556,,,,,,,
23,23,23,23,23,23,23,23,4.0,128.0,15.0,3.0,74.78251524299958,300.80158957200183,1.35216563600261,2.6446581490017707,1.23188255399873,,,,,,,
24,24,24,24,24,24,24,24,5.0,128.0,15.0,3.0,72.2928034079996,299.68568666699866,1.3372020449969568,2.640918168999633,1.2210076170013051,,,,,,,
25,25,25,25,25,25,25,25,6.0,128.0,15.0,3.0,71.66771091999908,300.687257966998,1.3443232999998145,2.6360705369988864,1.2021939159967587,,,,,,,
26,26,26,26,26,26,26,26,7.0,128.0,15.0,3.0,72.30295648700121,301.2589545269984,1.3342559539960348,2.6263058749973425,1.2114985329972114,,,,,,,
27,27,27,27,27,27,27,27,8.0,128.0,15.0,3.0,72.55302947699965,300.1920559099999,1.3509959949951735,2.637906288000522,1.211024146003183,,,,,,,
28,28,28,28,28,28,28,28,9.0,128.0,15.0,3.0,72.56402601099762,300.3769634550008,1.3706654580018949,2.6348599109987845,1.13315124699875,,,,,,,
29,29,29,29,29,29,29,29,10.0,128.0,15.0,3.0,72.88356153099812,300.9039227229987,1.363210647003143,2.61946543799786,1.1586475320000318,,,,,,,
30,30,30,30,30,30,30,30,1.0,256.0,15.0,3.0,291.12484904699886,,6.040823000003002,11.203281710000738,3.000156890004291,,,,,,,
31,31,31,31,31,31,31,31,2.0,256.0,15.0,3.0,290.5490261760024,,5.811196941001981,11.25940858499962,3.0890699439987657,,,,,,,
32,32,32,32,32,32,32,32,3.0,256.0,15.0,3.0,288.7372368680008,,5.8469572749963845,11.19937992999985,3.093916215999343,,,,,,,
33,33,33,33,33,33,33,33,4.0,256.0,15.0,3.0,293.6655065310006,,6.161112444999162,11.221996267999202,3.189869503999944,,,,,,,
34,34,34,34,34,34,34,34,5.0,256.0,15.0,3.0,290.0371459779999,,6.069759102996613,11.255365520999476,3.1951182300035725,,,,,,,
35,35,35,35,35,35,35,35,6.0,256.0,15.0,3.0,288.77899232100026,,6.0291802799984,11.196552793000592,3.155385659003514,,,,,,,
36,36,36,36,36,36,36,36,7.0,256.0,15.0,3.0,290.16373522900176,,5.9416384489959455,11.16811284600044,3.259779468004126,,,,,,,
37,37,37,37,37,37,37,37,8.0,256.0,15.0,3.0,289.2331344209997,,5.832754775998183,11.203856710002585,3.256176533999678,,,,,,,
38,38,38,38,38,38,38,38,9.0,256.0,15.0,3.0,290.50652751899906,,5.822273747995496,11.21095003299706,3.217966544994852,,,,,,,
39,39,39,39,39,39,39,39,10.0,256.0,15.0,3.0,288.5043343679972,,5.838226225001563,11.165819169000317,3.2013442129973555,,,,,,,
40,40,40,40,40,40,40,40,1.0,512.0,15.0,3.0,,,28.08779485199921,48.305281864999415,14.402864255003806,,,,,,,
41,41,41,41,41,41,41,41,2.0,512.0,15.0,3.0,,,28.162069187004818,48.1204308080014,14.397667033001198,,,,,,,
42,42,42,42,42,42,42,42,3.0,512.0,15.0,3.0,,,28.129338053004176,48.49678897800186,14.487771756997972,,,,,,,
43,43,43,43,43,43,43,43,4.0,512.0,15.0,3.0,,,28.161185655000736,49.53555822600174,13.873339416000816,,,,,,,
44,44,44,44,44,44,44,44,5.0,512.0,15.0,3.0,,,28.236390662001213,48.56755599600001,14.2413834389954,,,,,,,
45,45,45,45,45,45,45,45,6.0,512.0,15.0,3.0,,,28.67434425099782,48.31817695900099,13.874492050999834,,,,,,,
46,46,46,46,46,46,46,46,7.0,512.0,15.0,3.0,,,29.407281915999192,48.49290600899985,13.843777268997655,,,,,,,
47,47,47,47,47,47,47,47,8.0,512.0,15.0,3.0,,,28.6246331020011,48.26409669400164,13.842870323998795,,,,,,,
48,48,48,48,48,48,48,48,9.0,512.0,15.0,3.0,,,28.58223973499844,48.74909053399824,13.897497055000713,,,,,,,
49,49,49,49,49,49,49,49,10.0,512.0,15.0,3.0,,,28.501937838998856,48.5235965920001,13.950031252999906,,,,,,,
50,50,50,50,50,50,50,50,1.0,1024.0,15.0,3.0,,,114.51418852600182,205.19762889900085,106.08702851099952,,,,,,,
51,51,51,51,51,51,51,51,2.0,1024.0,15.0,3.0,,,114.36853137199796,204.7804932360013,103.98972597199828,,,,,,,
52,52,52,52,52,52,52,52,3.0,1024.0,15.0,3.0,,,114.62964835599996,204.9598938279996,106.89744220899956,,,,,,,
53,53,53,53,53,53,53,53,4.0,1024.0,15.0,3.0,,,114.22573317500064,205.2119815779988,103.966564413,,,,,,,
54,54,54,54,54,54,54,54,5.0,1024.0,15.0,3.0,,,114.40225383600044,204.8555002480025,103.94594769499965,,,,,,,
55,55,55,55,55,55,55,55,6.0,1024.0,15.0,3.0,,,114.6821876230024,205.0954693369968,105.06108266600133,,,,,,,
56,56,56,56,56,56,56,56,7.0,1024.0,15.0,3.0,,,115.36314369799948,205.2723443190007,105.61534899199978,,,,,,,
57,57,57,57,57,57,57,57,8.0,1024.0,15.0,3.0,,,117.6350333779992,209.41761493500235,105.5600295530021,,,,,,,
58,58,58,58,58,58,58,58,9.0,1024.0,15.0,3.0,,,116.7131499649986,204.5871990530032,105.15400994899392,,,,,,,
59,59,59,59,59,59,59,59,10.0,1024.0,15.0,3.0,,,116.892009641997,204.6065646179996,105.22806832400238,,,,,,,
60,60,60,60,60,60,60,60,1.0,2048.0,15.0,3.0,,,501.8583829609997,840.8481753490014,490.703302766,,,,,,,
61,61,61,61,61,61,61,61,2.0,2048.0,15.0,3.0,,,495.7178258319982,840.066288244001,499.16659985599836,,,,,,,
62,62,62,62,62,62,62,62,3.0,2048.0,15.0,3.0,,,,,,,,,,,,
63,63,63,63,63,63,63,63,4.0,2048.0,15.0,3.0,,,,,,,,,,,,
64,64,64,64,64,64,64,64,5.0,2048.0,15.0,3.0,,,,,,,,,,,,
65,65,65,65,65,65,65,65,6.0,2048.0,15.0,3.0,,,,,,,,,,,,
66,66,66,66,66,66,66,66,7.0,2048.0,15.0,3.0,,,,,,,,,,,,
67,67,67,67,67,67,67,67,8.0,2048.0,15.0,3.0,,,,,,,,,,,,
68,68,68,68,68,68,68,68,9.0,2048.0,15.0,3.0,,,,,,,,,,,,
69,69,69,69,69,69,69,69,10.0,2048.0,15.0,3.0,,,,,,,,,,,,
