,ensumbles,lattice_size,memory_length,synergy_rate,cupy
0,1.0,32.0,15.0,3.0,14.921549668999887
1,2.0,32.0,15.0,3.0,4.716791575000116
2,3.0,32.0,15.0,3.0,4.259702803999971
3,4.0,32.0,15.0,3.0,3.9834525410001334
4,5.0,32.0,15.0,3.0,5.375416019000113
5,6.0,32.0,15.0,3.0,4.414296885999647
6,7.0,32.0,15.0,3.0,3.8765794910000295
7,8.0,32.0,15.0,3.0,4.505410983000274
8,9.0,32.0,15.0,3.0,4.306083958999807
9,10.0,32.0,15.0,3.0,3.85876839499997
10,1.0,64.0,15.0,3.0,4.526354000000083
11,2.0,64.0,15.0,3.0,4.959160476999841
12,3.0,64.0,15.0,3.0,4.192389977000403
13,4.0,64.0,15.0,3.0,4.137177153999801
14,5.0,64.0,15.0,3.0,4.747603507999884
15,6.0,64.0,15.0,3.0,3.8425849159998506
16,7.0,64.0,15.0,3.0,3.827816428999995
17,8.0,64.0,15.0,3.0,4.818615504999798
18,9.0,64.0,15.0,3.0,3.8848796269999184
19,10.0,64.0,15.0,3.0,3.9050551450000057
20,1.0,128.0,15.0,3.0,5.019439785000031
21,2.0,128.0,15.0,3.0,4.205475029999889
22,3.0,128.0,15.0,3.0,4.010357672999817
23,4.0,128.0,15.0,3.0,5.076118739999856
24,5.0,128.0,15.0,3.0,4.387446205999822
25,6.0,128.0,15.0,3.0,4.003950854999857
26,7.0,128.0,15.0,3.0,5.467894372000046
27,8.0,128.0,15.0,3.0,4.61528672500026
28,9.0,128.0,15.0,3.0,4.198501463999946
29,10.0,128.0,15.0,3.0,4.637677402999998
30,1.0,256.0,15.0,3.0,5.210393233000104
31,2.0,256.0,15.0,3.0,4.943169332000252
32,3.0,256.0,15.0,3.0,5.623119924000093
33,4.0,256.0,15.0,3.0,4.813094023999838
34,5.0,256.0,15.0,3.0,4.946014217000084
35,6.0,256.0,15.0,3.0,5.526693891000377
36,7.0,256.0,15.0,3.0,5.001990581999962
37,8.0,256.0,15.0,3.0,5.272558369000308
38,9.0,256.0,15.0,3.0,5.158098126999903
39,10.0,256.0,15.0,3.0,4.865542456000185
40,1.0,512.0,15.0,3.0,12.165049802999874
41,2.0,512.0,15.0,3.0,12.310436018000019
42,3.0,512.0,15.0,3.0,12.460426550000193
43,4.0,512.0,15.0,3.0,12.396411829000044
44,5.0,512.0,15.0,3.0,12.280365518000053
45,6.0,512.0,15.0,3.0,12.196580594999887
46,7.0,512.0,15.0,3.0,12.136426154999754
47,8.0,512.0,15.0,3.0,12.128675088000364
48,9.0,512.0,15.0,3.0,12.187806360000195
49,10.0,512.0,15.0,3.0,12.253576290999717
50,1.0,1024.0,15.0,3.0,46.993950741999925
51,2.0,1024.0,15.0,3.0,46.85474602399972
52,3.0,1024.0,15.0,3.0,46.94957066799998
53,4.0,1024.0,15.0,3.0,46.9450139139999
54,5.0,1024.0,15.0,3.0,46.968922679000116
55,6.0,1024.0,15.0,3.0,47.00283800800025
56,7.0,1024.0,15.0,3.0,46.932163845000105
57,8.0,1024.0,15.0,3.0,47.00493062199985
58,9.0,1024.0,15.0,3.0,46.96983316600017
59,10.0,1024.0,15.0,3.0,46.97606571999995
60,1.0,2048.0,15.0,3.0,186.33822782900006
61,2.0,2048.0,15.0,3.0,186.21071509500007
62,3.0,2048.0,15.0,3.0,186.14600769399976
63,4.0,2048.0,15.0,3.0,186.23079154200013
64,5.0,2048.0,15.0,3.0,186.23718023300034
65,6.0,2048.0,15.0,3.0,186.18571654499965
66,7.0,2048.0,15.0,3.0,186.2005762180006
67,8.0,2048.0,15.0,3.0,186.2295638709993
68,9.0,2048.0,15.0,3.0,186.27741555299963
69,10.0,2048.0,15.0,3.0,186.13813684399975
