,ensumbles,lattice_size,memory_length,synergy_rate,numba_cuda
0,1.0,32.0,15.0,3.0,6.954943716999878
1,2.0,32.0,15.0,3.0,1.0275784850000491
2,3.0,32.0,15.0,3.0,0.9054784260001725
3,4.0,32.0,15.0,3.0,0.9030654459998004
4,5.0,32.0,15.0,3.0,0.9119236960000308
5,6.0,32.0,15.0,3.0,0.8996277380001629
6,7.0,32.0,15.0,3.0,0.9321282649998466
7,8.0,32.0,15.0,3.0,0.9529834830000254
8,9.0,32.0,15.0,3.0,1.1912007860000813
9,10.0,32.0,15.0,3.0,1.1942594339998323
10,1.0,64.0,15.0,3.0,1.2640493660001084
11,2.0,64.0,15.0,3.0,0.9058883069997137
12,3.0,64.0,15.0,3.0,0.9162926009998955
13,4.0,64.0,15.0,3.0,0.9023552499998004
14,5.0,64.0,15.0,3.0,0.9232683820000602
15,6.0,64.0,15.0,3.0,0.9265733910001472
16,7.0,64.0,15.0,3.0,0.9019121689998428
17,8.0,64.0,15.0,3.0,0.9067378760000793
18,9.0,64.0,15.0,3.0,0.9401013040001089
19,10.0,64.0,15.0,3.0,0.9276937899999211
20,1.0,128.0,15.0,3.0,1.0006723169999532
21,2.0,128.0,15.0,3.0,1.2257734570002867
22,3.0,128.0,15.0,3.0,1.615671974000179
23,4.0,128.0,15.0,3.0,1.384103937999953
24,5.0,128.0,15.0,3.0,1.0249914629998784
25,6.0,128.0,15.0,3.0,0.9972855040000468
26,7.0,128.0,15.0,3.0,0.9943254729996625
27,8.0,128.0,15.0,3.0,1.0066868419999082
28,9.0,128.0,15.0,3.0,0.9976528960000905
29,10.0,128.0,15.0,3.0,0.9952802799998608
30,1.0,256.0,15.0,3.0,1.6851125449998108
31,2.0,256.0,15.0,3.0,1.469380719000128
32,3.0,256.0,15.0,3.0,1.6051367370000662
33,4.0,256.0,15.0,3.0,1.7616721760000473
34,5.0,256.0,15.0,3.0,1.731578406999688
35,6.0,256.0,15.0,3.0,1.4327532249999422
36,7.0,256.0,15.0,3.0,1.442924621000202
37,8.0,256.0,15.0,3.0,1.425022762000026
38,9.0,256.0,15.0,3.0,1.4081974679997984
39,10.0,256.0,15.0,3.0,1.4227984039998773
40,1.0,512.0,15.0,3.0,4.092367204000311
41,2.0,512.0,15.0,3.0,3.7977862699999605
42,3.0,512.0,15.0,3.0,3.434902057000272
43,4.0,512.0,15.0,3.0,3.4330963190000148
44,5.0,512.0,15.0,3.0,3.9079944039999646
45,6.0,512.0,15.0,3.0,3.569640798999899
46,7.0,512.0,15.0,3.0,3.379800074999821
47,8.0,512.0,15.0,3.0,3.3826875119998476
48,9.0,512.0,15.0,3.0,3.9626670060001743
49,10.0,512.0,15.0,3.0,3.466531780999958
50,1.0,1024.0,15.0,3.0,12.698359837000226
51,2.0,1024.0,15.0,3.0,11.783171520999986
52,3.0,1024.0,15.0,3.0,11.558159503999832
53,4.0,1024.0,15.0,3.0,11.685243622000144
54,5.0,1024.0,15.0,3.0,12.112444896000397
55,6.0,1024.0,15.0,3.0,12.275628333999975
56,7.0,1024.0,15.0,3.0,12.068777366999711
57,8.0,1024.0,15.0,3.0,12.298425400999804
58,9.0,1024.0,15.0,3.0,11.940208588000132
59,10.0,1024.0,15.0,3.0,11.773359786000128
60,1.0,2048.0,15.0,3.0,52.6232908410002
61,2.0,2048.0,15.0,3.0,54.30847287400002
62,3.0,2048.0,15.0,3.0,54.20035416200017
63,4.0,2048.0,15.0,3.0,53.679973936999886
64,5.0,2048.0,15.0,3.0,
65,6.0,2048.0,15.0,3.0,
66,7.0,2048.0,15.0,3.0,
67,8.0,2048.0,15.0,3.0,
68,9.0,2048.0,15.0,3.0,
69,10.0,2048.0,15.0,3.0,
