,ensumbles,lattice_size,memory_length,synergy_rate,vectorized_pytorch_gpu
0,1.0,32.0,15.0,3.0,3.367989666000085
1,2.0,32.0,15.0,3.0,2.4962656090000337
2,3.0,32.0,15.0,3.0,2.5547416929999827
3,4.0,32.0,15.0,3.0,1.950329981999971
4,5.0,32.0,15.0,3.0,1.9551105589999906
5,6.0,32.0,15.0,3.0,1.947989911000036
6,7.0,32.0,15.0,3.0,2.24757342099997
7,8.0,32.0,15.0,3.0,2.482859539999936
8,9.0,32.0,15.0,3.0,1.928763242000059
9,10.0,32.0,15.0,3.0,1.8768551809999963
10,1.0,64.0,15.0,3.0,1.9733324119999907
11,2.0,64.0,15.0,3.0,1.9572075390000236
12,3.0,64.0,15.0,3.0,2.3434913679999454
13,4.0,64.0,15.0,3.0,2.5344635889999836
14,5.0,64.0,15.0,3.0,2.150148693999995
15,6.0,64.0,15.0,3.0,1.9476296730000513
16,7.0,64.0,15.0,3.0,1.9869622690000597
17,8.0,64.0,15.0,3.0,1.933158730999935
18,9.0,64.0,15.0,3.0,1.9556576150000637
19,10.0,64.0,15.0,3.0,2.3829404030000205
20,1.0,128.0,15.0,3.0,2.8324450420000176
21,2.0,128.0,15.0,3.0,2.400446137999893
22,3.0,128.0,15.0,3.0,2.37445332599998
23,4.0,128.0,15.0,3.0,2.79186809600003
24,5.0,128.0,15.0,3.0,2.7398527519999334
25,6.0,128.0,15.0,3.0,2.9992070370000192
26,7.0,128.0,15.0,3.0,2.3698990299999423
27,8.0,128.0,15.0,3.0,2.415255070999933
28,9.0,128.0,15.0,3.0,2.4461914889999434
29,10.0,128.0,15.0,3.0,2.562986275999947
30,1.0,256.0,15.0,3.0,4.463765523000006
31,2.0,256.0,15.0,3.0,4.1800158060000285
32,3.0,256.0,15.0,3.0,3.7116783919999534
33,4.0,256.0,15.0,3.0,4.586564680000038
34,5.0,256.0,15.0,3.0,3.8249305640000557
35,6.0,256.0,15.0,3.0,3.788758864999977
36,7.0,256.0,15.0,3.0,4.31165945500004
37,8.0,256.0,15.0,3.0,4.116738377999923
38,9.0,256.0,15.0,3.0,3.763895237999918
39,10.0,256.0,15.0,3.0,3.8582214070000873
40,1.0,512.0,15.0,3.0,11.21949668000002
41,2.0,512.0,15.0,3.0,10.542248273000041
42,3.0,512.0,15.0,3.0,11.00272635400006
43,4.0,512.0,15.0,3.0,11.202690340999993
44,5.0,512.0,15.0,3.0,10.388169544999982
45,6.0,512.0,15.0,3.0,10.84335291800005
46,7.0,512.0,15.0,3.0,10.87799148399995
47,8.0,512.0,15.0,3.0,9.567142486999956
48,9.0,512.0,15.0,3.0,10.358828859999903
49,10.0,512.0,15.0,3.0,10.829349749000016
50,1.0,1024.0,15.0,3.0,40.36970050499997
51,2.0,1024.0,15.0,3.0,40.059417897
52,3.0,1024.0,15.0,3.0,38.62552727399998
53,4.0,1024.0,15.0,3.0,37.036447909
54,5.0,1024.0,15.0,3.0,41.65350394999996
55,6.0,1024.0,15.0,3.0,41.03109216099995
56,7.0,1024.0,15.0,3.0,40.14833284400015
57,8.0,1024.0,15.0,3.0,40.696928237000066
58,9.0,1024.0,15.0,3.0,41.629965228999936
59,10.0,1024.0,15.0,3.0,40.73078066999983
60,1.0,2048.0,15.0,3.0,182.841466804
61,2.0,2048.0,15.0,3.0,184.72369311800003
62,3.0,2048.0,15.0,3.0,180.18979055199998
63,4.0,2048.0,15.0,3.0,
64,5.0,2048.0,15.0,3.0,
65,6.0,2048.0,15.0,3.0,
66,7.0,2048.0,15.0,3.0,
67,8.0,2048.0,15.0,3.0,
68,9.0,2048.0,15.0,3.0,
69,10.0,2048.0,15.0,3.0,
